time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/std,train/learning_rate,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction
1343,114688,56,85,0.9223921298980713,-2.6647866636514665,0.7590770125389099,0.0029980836,0.9163478016853333,0.0003,4.714340071380138,550,-0.005056541634257883,0.2,0.024755859375
1344,116736,57,86,0.5451375246047974,-2.664823257923126,0.8806436061859131,0.0071833315,0.9197665452957153,0.0003,1.4307979844510554,560,-0.006945877760881558,0.2,0.067138671875
1345,118784,58,88,2.703594207763672,-2.6720215350389482,0.761710524559021,0.0034822107,0.9216448068618774,0.0003,6.047012913227081,570,-0.0043586306273937225,0.2,0.01455078125
1346,120832,59,89,0.6889196634292603,-2.671204587817192,0.9081220626831055,0.006939194,0.9174305200576782,0.0003,1.7869765542447567,580,-0.004845633517834358,0.2,0.053515625
1347,122880,60,91,0.5225544571876526,-2.6617849498987196,0.9424184560775757,0.008084949,0.9150785803794861,0.0003,1.2777440682053567,590,-0.006262334948405624,0.2,0.046923828125
1348,124928,61,92,1.7404388189315796,-2.660901126265526,0.8400892019271851,0.00633464,0.9162746071815491,0.0003,2.32204532623291,600,-0.005127628438640386,0.2,0.02744140625
1348,126976,62,94,0.45152556896209717,-2.6624576807022096,0.9130179286003113,0.0055688126,0.9147752523422241,0.0003,1.3085124887526036,610,-0.0052543548255926,0.2,0.042578125
1349,129024,63,95,1.5685789585113525,-2.657207489013672,0.7736046314239502,0.004406222,0.912100076675415,0.0003,3.752711519598961,620,-0.0055851956945844,0.2,0.030029296875
1350,131072,64,97,1.013550043106079,-2.6516173779964447,0.8385535478591919,0.0043313513,0.9101924896240234,0.0003,2.5976220801472665,630,-0.005735453616944141,0.2,0.042919921875
1350,133120,65,98,1.2686039209365845,-2.647322788834572,0.737488865852356,0.0054713483,0.9078958034515381,0.0003,3.4541469529271125,640,-0.005900335445767268,0.2,0.039794921875
